word,entropy
iliac,4.231614
dross,4.228794
odder,4.228768
rover,4.228443
oxide,4.227208
using,4.226148
rarer,4.226026
stuck,4.225213
gipsy,4.225065
boost,4.224244
issue,4.224241
blink,4.223388
attic,4.222815
privy,4.221208
taboo,4.220230
limbo,4.216790
glass,4.215961
marry,4.215627
spool,4.215406
spill,4.214168
silly,4.213239
thick,4.212104
stump,4.211508
empty,4.211131
bingo,4.209541
merry,4.208894
sense,4.204957
topaz,4.204078
waxen,4.203521
river,4.203504
flack,4.202814
young,4.201715
havoc,4.201191
wound,4.200127
shock,4.199979
drama,4.199810
slosh,4.197935
mania,4.197788
sulky,4.196610
umbra,4.196499
wharf,4.193084
evade,4.192701
wheel,4.191032
fixer,4.190501
fling,4.189358
pesky,4.188753
eking,4.188612
flail,4.188273
cabal,4.187989
moron,4.187633
frock,4.184703
again,4.184570
envoy,4.184300
essay,4.183066
snuck,4.182213
annul,4.182164
mulch,4.181805
tweed,4.180134
punch,4.180130
rowdy,4.178187
dwarf,4.178001
stood,4.176160
dough,4.175854
witch,4.173546
gecko,4.172387
fudge,4.170034
crumb,4.169409
gooey,4.168373
gulch,4.168295
blown,4.167831
coach,4.166974
swell,4.165784
might,4.163090
focus,4.162892
koala,4.162706
berry,4.161303
valve,4.160128
dingy,4.159493
vapid,4.156811
swing,4.156479
verge,4.156017
frill,4.155969
fleck,4.155308
floor,4.152980
zesty,4.151235
opium,4.150736
cycle,4.149773
quota,4.148352
showy,4.147982
clump,4.147811
swamp,4.141646
elegy,4.141328
plunk,4.140147
bless,4.135849
afoot,4.134120
adapt,4.130771
ditto,4.129603
itchy,4.127125
delve,4.125861
gross,4.125238
edify,4.124448
finch,4.124255
vinyl,4.124196
canny,4.124137
block,4.121958
patty,4.119454
needy,4.118769
sweep,4.117410
venue,4.117324
gouge,4.115646
stoop,4.115228
butch,4.114679
wrung,4.113463
catch,4.112376
dying,4.110680
joker,4.110160
sixth,4.109501
debug,4.108254
width,4.107829
flaky,4.106902
dally,4.105804
event,4.104988
smock,4.103705
annoy,4.103456
pique,4.103171
petty,4.102735
spoon,4.102177
toxic,4.101118
droop,4.100471
exile,4.099064
munch,4.098534
ember,4.097962
winch,4.097862
conic,4.097344
ficus,4.097342
mecca,4.096624
sixty,4.095211
chill,4.093330
blimp,4.092570
krill,4.091848
aloof,4.091499
snoop,4.087369
larva,4.086665
spunk,4.085422
downy,4.085176
weave,4.083902
query,4.082770
exert,4.082121
hedge,4.078806
druid,4.076760
spiky,4.076480
rumor,4.076407
whiny,4.076400
udder,4.074781
avail,4.073980
upper,4.073840
limit,4.073692
curvy,4.068546
quasi,4.067419
index,4.067413
idiot,4.067299
flown,4.066534
usual,4.064151
humid,4.061882
junta,4.058749
award,4.057649
ferry,4.054862
dodge,4.053958
amiss,4.049738
bunch,4.049415
fritz,4.047449
quake,4.046402
tibia,4.043444
imply,4.042352
crack,4.042011
augur,4.040754
basis,4.040250
pluck,4.037584
bough,4.033742
brood,4.032214
quash,4.030473
hatch,4.029943
chess,4.029570
beech,4.029193
thump,4.026673
owing,4.024710
gloss,4.019596
smoky,4.018366
kneed,4.017928
curry,4.017717
unify,4.015643
fewer,4.015572
filmy,4.014470
sully,4.011405
flock,4.009434
flick,4.007701
pagan,4.007152
pushy,4.006551
fight,4.006451
union,4.003405
twist,4.002732
bylaw,4.001329
furor,4.001279
swill,4.000140
allow,3.999916
crook,3.999318
shuck,3.999150
batty,3.996016
pubic,3.994306
milky,3.993872
alibi,3.993457
waltz,3.991925
pinky,3.988432
abbot,3.987908
vouch,3.986240
parka,3.984502
slush,3.984389
blitz,3.983963
ionic,3.983889
proxy,3.982923
flung,3.982334
modem,3.978605
cheek,3.978194
bevel,3.977860
wight,3.977636
windy,3.977357
bliss,3.976249
fishy,3.975850
awful,3.974705
guess,3.974399
axiom,3.974284
awake,3.973172
skill,3.972675
roomy,3.972287
avian,3.971243
condo,3.969251
ninth,3.967422
rugby,3.966884
enemy,3.965748
undue,3.964780
junto,3.964517
penny,3.962408
wispy,3.962398
teddy,3.961179
squad,3.959554
razor,3.958532
queer,3.956689
occur,3.954854
belly,3.954486
rotor,3.954193
folio,3.952089
dolly,3.951757
teeth,3.951162
lumpy,3.950695
gassy,3.950380
tepee,3.950189
ennui,3.949503
gaffe,3.947259
smash,3.946453
naval,3.945966
chunk,3.943989
mushy,3.939600
offer,3.937910
sappy,3.933314
fever,3.933057
murky,3.932904
rabbi,3.932422
swung,3.932144
abbey,3.930481
glyph,3.923985
photo,3.923669
error,3.923037
groom,3.922160
skimp,3.922124
ditty,3.920337
scoop,3.920278
array,3.919500
theft,3.915118
awash,3.914848
belle,3.914392
qualm,3.913936
alpha,3.912876
freer,3.911180
every,3.910803
holly,3.910158
banjo,3.908647
vixen,3.907455
dilly,3.906763
radar,3.905575
booth,3.905434
enjoy,3.904534
penne,3.903424
quoth,3.903383
fauna,3.903092
dandy,3.902378
chili,3.896202
flunk,3.896096
comfy,3.895167
loopy,3.895084
swoon,3.894899
sunny,3.894809
clack,3.894772
lucky,3.893061
fatty,3.892045
melee,3.888300
conch,3.885435
worry,3.885078
bushy,3.883566
going,3.883311
blood,3.883304
coyly,3.883215
quark,3.883075
thumb,3.882188
booty,3.877397
broom,3.872319
outdo,3.870443
hilly,3.868722
staff,3.867695
nylon,3.867350
golly,3.866345
pupil,3.865594
spasm,3.865061
salsa,3.863778
geese,3.862077
dwell,3.861413
whisk,3.860915
floss,3.858049
proof,3.857971
hurry,3.857535
plumb,3.852234
duchy,3.851064
karma,3.848166
crock,3.847520
aging,3.844504
bawdy,3.844010
knoll,3.841472
rigid,3.840451
wedge,3.840270
fungi,3.839550
villa,3.838830
annex,3.838637
crick,3.836493
picky,3.834057
gayly,3.831263
whack,3.830372
chump,3.827461
icily,3.825264
digit,3.825050
toddy,3.824713
comma,3.824247
apply,3.822165
vodka,3.817525
nutty,3.815959
dryly,3.814749
manga,3.814207
axial,3.814192
hitch,3.811816
dusky,3.808034
cinch,3.806739
queen,3.805893
ozone,3.803387
caddy,3.802526
refer,3.801959
equip,3.800201
pooch,3.799507
swash,3.798307
leggy,3.797788
igloo,3.796251
tabby,3.795870
visit,3.794028
epoxy,3.793723
husky,3.793131
lymph,3.792884
bitty,3.790580
tight,3.789603
amaze,3.787026
hunky,3.786901
gloom,3.785092
mossy,3.784970
wacky,3.783839
timid,3.782513
tweet,3.781794
couch,3.781003
howdy,3.775767
outgo,3.774382
lipid,3.772804
jerky,3.771734
comic,3.770417
excel,3.769950
judge,3.768642
flood,3.765859
billy,3.764118
blurb,3.763561
pudgy,3.762282
fanny,3.760770
skull,3.758827
kiosk,3.755709
brook,3.755266
weedy,3.754307
embed,3.754239
eject,3.751528
wooly,3.751375
uncut,3.751368
missy,3.747805
bezel,3.747043
vying,3.746189
bulky,3.744274
shook,3.738350
musky,3.729462
bossy,3.726897
forgo,3.722180
bloom,3.722080
mafia,3.721211
quirk,3.718398
soggy,3.718053
dumpy,3.717729
evoke,3.715453
sushi,3.710951
dully,3.710926
thigh,3.706183
gumbo,3.704912
usurp,3.704423
putty,3.703408
offal,3.699137
folly,3.698405
clock,3.697039
click,3.692173
shyly,3.688743
juicy,3.686080
polyp,3.685409
taffy,3.684352
cynic,3.683381
rajah,3.682512
fjord,3.678370
stiff,3.677604
allay,3.672289
idyll,3.664672
paddy,3.663054
geeky,3.662176
expel,3.661461
furry,3.657526
witty,3.656172
civil,3.654639
beefy,3.653836
nymph,3.652765
spook,3.651642
wimpy,3.650333
myrrh,3.647634
filly,3.647263
kebab,3.646585
gawky,3.645058
sniff,3.644334
cacao,3.643954
swoop,3.637901
willy,3.630809
hutch,3.630136
abyss,3.630128
level,3.626581
kitty,3.625742
ruddy,3.625346
undid,3.622456
gully,3.620151
lowly,3.618412
lupus,3.618236
bosom,3.615594
spoof,3.611404
cliff,3.611190
goody,3.607927
tooth,3.607628
swish,3.606773
hussy,3.604227
cabby,3.602719
moody,3.598503
pixie,3.597055
knack,3.595762
bongo,3.595559
juror,3.594972
oddly,3.592363
squib,3.589560
inbox,3.586149
hippo,3.584314
quell,3.584003
savvy,3.583895
happy,3.580458
funky,3.571314
fugue,3.570969
booze,3.569456
macaw,3.568289
verve,3.567547
idiom,3.566299
papal,3.562785
skulk,3.561660
hunch,3.560872
mambo,3.557380
bully,3.556494
jewel,3.556458
mucky,3.556176
tatty,3.554334
quack,3.552368
lobby,3.552242
wryly,3.549506
unzip,3.543867
llama,3.543128
icing,3.534662
emcee,3.530148
plaza,3.528942
aback,3.512543
cocoa,3.512088
pulpy,3.511145
onion,3.505791
ovoid,3.503213
cubic,3.492956
chaff,3.492736
scoff,3.484472
fifth,3.483574
guava,3.480968
cluck,3.476030
check,3.469207
livid,3.468868
jetty,3.468351
fifty,3.462026
khaki,3.461019
stuff,3.458378
skunk,3.454977
fully,3.452430
jelly,3.447840
plump,3.443298
amass,3.439272
bunny,3.437958
dodgy,3.437587
assay,3.435756
baggy,3.435353
woody,3.425895
snuff,3.420622
quill,3.420395
knock,3.416784
vigil,3.408560
motto,3.401450
fussy,3.386316
quick,3.386248
mucus,3.383257
sassy,3.381571
widow,3.376257
hippy,3.376243
goofy,3.371610
giddy,3.364161
whoop,3.361971
chock,3.351386
gruff,3.338104
piggy,3.333029
funny,3.332564
chick,3.329323
biddy,3.328468
nanny,3.320814
ninja,3.317532
which,3.307933
buxom,3.302559
humus,3.301213
kinky,3.300122
jolly,3.297605
hobby,3.281986
slyly,3.245364
femme,3.241721
dowdy,3.219551
maxim,3.218471
gypsy,3.206050
sissy,3.173002
muddy,3.168743
madam,3.168047
foggy,3.165267
dummy,3.162717
skiff,3.159694
known,3.152879
jumbo,3.143050
twixt,3.133210
chuck,3.127683
buddy,3.126451
bluff,3.124748
guppy,3.112407
humph,3.100366
ninny,3.084897
gummy,3.069768
jumpy,3.058014
shush,3.041877
pizza,3.037742
daddy,3.026273
minim,3.020286
buggy,3.012152
queue,3.007351
gamma,2.993198
magma,2.982029
boozy,2.964732
puffy,2.938648
kayak,2.928371
whiff,2.910787
mammy,2.897171
booby,2.894381
affix,2.870025
kappa,2.841289
woozy,2.835856
pygmy,2.834685
mimic,2.820223
poppy,2.809871
dizzy,2.760455
civic,2.676718
bobby,2.606654
fluff,2.564009
puppy,2.560618
vivid,2.527852
jiffy,2.507263
fizzy,2.506047
mummy,2.480192
mamma,2.398164
jazzy,2.308792
fuzzy,2.304360
